region,Average Price,Total Volume(in millions)
Albany,1.5706050955414015,14.525813799999987
Atlanta,1.34171974522293,80.37369640000006
BaltimoreWashington,1.5461464968152858,122.55501631999994
Boise,1.337101910828025,13.198428179999988
Boston,1.5273885350318472,88.63697886999998
BuffaloRochester,1.5390445859872615,20.838652359999987
California,1.3941082802547764,945.2403442299993
Charlotte,1.6154777070063686,31.969654819999995
Chicago,1.5564012738853508,122.08810689999993
CincinnatiDayton,1.2041082802547773,40.92372028000004
Columbus,1.2589808917197454,27.14946142
DallasFtWorth,1.084267515923567,190.24754121999993
Denver,1.2138216560509554,127.05718258999998
Detroit,1.2835987261146495,57.39946203000002
GrandRapids,1.518503184713375,27.642272599999988
GreatLakes,1.3431528662420378,536.4818713199999
HarrisburgScranton,1.526783439490446,37.90704684000001
HartfordSpringfield,1.829426751592355,46.18279680999999
Houston,1.0483757961783435,183.18535069000015
Indianapolis,1.3251273885350319,27.354716629999967
Jacksonville,1.5150955414012748,26.0816004
LasVegas,1.3799363057324843,49.88327489999995
LosAngeles,1.2056369426751588,469.8441700400006
Louisville,1.2881210191082806,14.625441389999995
MiamiFtLauderdale,1.4349363057324838,87.93180339999999
Nashville,1.2113057324840768,32.09973588
NewOrleansMobile,1.3124840764331214,41.631175909999975
NewYork,1.7392675159235664,217.00487236000012
NorthernNewEngland,1.481687898089172,64.89672556000001
Orlando,1.5178025477707,52.74576491999999
Philadelphia,1.646146496815287,65.27156126000003
PhoenixTucson,1.2297452229299362,177.6305069699999
Pittsburgh,1.3711146496815294,16.904826090000004
Portland,1.3117197452229297,102.15442113999997
RaleighGreensboro,1.556656050955414,43.41383638
RichmondNorfolk,1.29563694267516,38.23602839000001
Roanoke,1.2450318471337571,22.551240910000022
Sacramento,1.6329936305732486,68.29599709999992
SanDiego,1.3920700636942687,83.1180692
SanFrancisco,1.823662420382165,122.84693250999992
Seattle,1.4416242038216551,101.27308361
SouthCarolina,1.4135987261146512,54.91769156000001
Spokane,1.447165605095541,14.339382009999989
StLouis,1.4279299363057332,29.53517333999999
Syracuse,1.5409554140127384,9.895680019999999
Tampa,1.4148089171974518,59.36248430999995
WestTexNewMexico,1.2625080385852094,132.72101900000004
