Zipcode,Population,Median Age,Household Income,Per Capita Income
13069,25314.0,38.7,43858.0,22121.0
13071,914.0,35.2,63750.0,24651.0
13072,733.0,46.0,50938.0,21306.0
13073,6405.0,41.6,54133.0,29472.0
13074,4284.0,43.2,50992.0,23177.0
13076,2512.0,43.2,51694.0,25028.0
13077,6895.0,40.9,57366.0,26614.0
13078,10397.0,46.6,83558.0,47202.0
13080,3773.0,43.7,58889.0,27081.0
13081,1030.0,50.4,58173.0,36924.0
13082,4511.0,45.2,58077.0,28596.0
13083,1637.0,39.0,49952.0,23357.0
13084,3976.0,38.8,66513.0,33113.0
13087,203.0,58.3,133750.0,48211.0
13088,22457.0,45.5,53091.0,30138.0
13090,30630.0,38.2,68411.0,31268.0
13092,2640.0,43.3,63125.0,25878.0
13101,2367.0,43.6,60344.0,25443.0
13104,16000.0,43.1,99631.0,48906.0
13108,6450.0,44.7,75278.0,37124.0
13110,2257.0,49.8,70769.0,34629.0
13111,1623.0,43.5,52019.0,22369.0
13112,1950.0,39.4,55000.0,26402.0
13113,264.0,37.1,61875.0,23171.0
13114,6772.0,37.5,52188.0,23746.0
13115,192.0,33.9,40833.0,22672.0
13116,3514.0,33.9,59209.0,30814.0
13117,269.0,44.9,54750.0,21189.0
13118,6247.0,41.2,56375.0,23232.0
13120,1929.0,41.1,55795.0,25841.0
13122,1325.0,36.5,61518.0,22753.0
13123,229.0,58.1,66875.0,29783.0
13124,78.0,42.5,46094.0,31176.0
13126,36772.0,35.0,47467.0,24260.0
13131,3493.0,42.8,51847.0,23762.0
13132,3347.0,47.6,57688.0,28287.0
13134,97.0,52.1,44583.0,19654.0
13135,7065.0,40.2,49576.0,24476.0
13136,485.0,41.8,42212.0,19366.0
13140,4362.0,44.0,49681.0,22810.0
13141,583.0,37.2,44853.0,22721.0
13142,6058.0,41.3,45542.0,23222.0
13143,2894.0,43.1,46944.0,19782.0
13144,1964.0,34.6,43404.0,17824.0
13145,2028.0,42.1,44313.0,22623.0
13146,2082.0,46.0,44954.0,21465.0
13147,1286.0,41.8,66875.0,33404.0
13148,10808.0,42.6,49393.0,26289.0
13152,8150.0,50.3,86380.0,52810.0
13153,201.0,50.2,47250.0,30528.0
13155,742.0,41.4,45179.0,20727.0
13156,2152.0,45.1,55773.0,25767.0
13157,729.0,54.0,39750.0,23614.0
13158,1573.0,44.6,45500.0,24122.0
13159,5370.0,43.8,72745.0,32980.0
13160,2128.0,41.5,64630.0,27230.0
13162,519.0,42.3,81571.0,59887.0
13163,419.0,34.9,49444.0,21323.0
13164,2494.0,38.1,72750.0,29708.0
13165,10753.0,41.7,48344.0,24576.0
13166,5534.0,43.5,56628.0,26577.0
13167,3096.0,41.2,51250.0,23403.0
13202,5878.0,27.1,15565.0,17982.0
13203,16406.0,34.3,30731.0,21115.0
13204,19896.0,30.6,28220.0,17502.0
13205,18729.0,35.3,30284.0,17858.0
13206,16428.0,36.6,38264.0,23685.0
13207,13110.0,34.2,44741.0,23296.0
13208,22353.0,33.7,32526.0,18081.0
13209,13492.0,42.2,52218.0,26431.0
13210,27737.0,21.2,25229.0,16129.0
13211,6515.0,37.2,44579.0,20942.0
13212,20417.0,43.7,51997.0,28107.0
13214,9032.0,34.1,68424.0,30054.0
13215,15646.0,44.8,82421.0,38575.0
13219,14955.0,44.9,59590.0,31487.0
13224,8628.0,40.1,51591.0,30566.0
13301,84.0,54.7,74107.0,41857.0
13302,1795.0,40.3,48594.0,19969.0
13303,1160.0,48.2,64107.0,32429.0
13304,1691.0,46.3,80469.0,38671.0
13305,469.0,30.3,90000.0,25341.0
13308,2695.0,49.1,40585.0,25290.0
13309,5755.0,42.9,53829.0,25637.0
13310,481.0,43.8,48188.0,20193.0
13312,492.0,48.3,40882.0,28290.0
13313,525.0,32.2,38438.0,16412.0
13314,664.0,37.2,43542.0,21331.0
13315,1400.0,44.6,49861.0,21807.0
33980,11849.0,60.9,42619.0,28128.0
33981,9857.0,59.6,46472.0,29768.0
33982,10528.0,49.7,43342.0,21761.0
33983,15376.0,53.0,48508.0,25236.0
33990,31557.0,44.3,47374.0,22047.0
33991,18626.0,43.9,52345.0,22670.0
33993,22468.0,39.5,52099.0,23346.0
34102,11464.0,60.9,69464.0,84720.0
34103,12247.0,63.4,75926.0,67841.0
34104,24757.0,49.8,45818.0,26524.0
34105,15685.0,57.3,76360.0,57912.0
34108,16548.0,62.9,75795.0,69625.0
34109,24767.0,50.7,55443.0,44913.0
34110,22052.0,62.7,71402.0,51670.0
34112,24979.0,56.4,45795.0,28240.0
34113,18523.0,48.2,46190.0,30530.0
34114,14319.0,60.1,55756.0,33387.0
34116,34956.0,31.6,43463.0,16758.0
34117,15015.0,40.9,59127.0,21727.0
34119,28297.0,50.6,73529.0,45859.0
34120,28748.0,37.3,72881.0,31555.0
34134,13425.0,66.5,68800.0,69354.0
34135,41640.0,50.7,53808.0,32975.0
34142,29450.0,26.6,28365.0,10128.0
34145,17148.0,64.6,73304.0,57808.0
34201,3806.0,64.4,89045.0,59227.0
34202,21871.0,47.4,89362.0,44595.0
34203,36866.0,44.5,47917.0,24858.0
34205,29855.0,42.7,34155.0,20550.0
34207,33683.0,45.1,34713.0,19279.0
34208,37714.0,35.1,39723.0,18470.0
34209,33345.0,53.3,53852.0,30354.0
34210,16271.0,50.1,45250.0,26297.0
34211,4627.0,52.5,89547.0,45672.0
34212,16032.0,45.0,91958.0,35645.0
34215,477.0,68.1,69492.0,43941.0
34216,1224.0,61.3,47917.0,35620.0
34217,4991.0,63.1,51326.0,45345.0
34219,20609.0,44.3,76427.0,30880.0
34221,40753.0,44.2,44090.0,23784.0
34222,10843.0,60.7,38396.0,27083.0
34223,16882.0,63.5,49502.0,33795.0
34224,15690.0,60.0,39882.0,25327.0
34228,7072.0,70.8,89087.0,93971.0
34229,7647.0,60.0,77772.0,49851.0
34231,29042.0,51.0,47127.0,35143.0
34232,33261.0,46.1,52737.0,27677.0
34233,17849.0,51.2,56915.0,33296.0
34234,20519.0,44.2,31605.0,20683.0
34235,13716.0,52.6,51776.0,35651.0
34236,11843.0,62.4,51028.0,55047.0
34237,17264.0,40.9,41305.0,21477.0
34238,18606.0,65.6,63203.0,46662.0
34239,15310.0,48.6,49199.0,34915.0
34240,11227.0,49.4,75639.0,39318.0
34241,14052.0,50.5,68074.0,38768.0
34242,8025.0,63.0,86610.0,70957.0
34243,27819.0,51.9,61885.0,33864.0
34251,5348.0,43.1,69647.0,28590.0
34266,31543.0,37.0,34521.0,15482.0
34269,3498.0,64.3,39481.0,24819.0
34275,17377.0,58.8,49768.0,36608.0
34285,18361.0,68.8,47617.0,41184.0
34286,21428.0,37.4,63019.0,23971.0
34287,24274.0,58.3,42782.0,24143.0
34288,10749.0,44.6,44559.0,27207.0
34289,2042.0,53.1,42451.0,30865.0
34291,5533.0,43.5,50994.0,23813.0
34292,15536.0,64.3,58610.0,35401.0
34293,34343.0,58.5,50185.0,30515.0
34420,15004.0,43.2,37113.0,21895.0
34428,9195.0,47.8,35493.0,21934.0
34429,6961.0,57.7,41715.0,29614.0
34431,7883.0,51.3,32469.0,19858.0
34432,12828.0,54.4,39611.0,21004.0
34433,5060.0,53.7,44653.0,26274.0
34434,8089.0,50.7,48629.0,22840.0
34436,7589.0,53.7,31458.0,21026.0
34442,15025.0,60.5,42772.0,26071.0
34446,16901.0,62.3,39085.0,23453.0
34448,10204.0,54.4,31243.0,19713.0
34449,2560.0,55.6,30833.0,20089.0
34450,10510.0,54.8,36590.0,30637.0
34452,11268.0,52.0,35290.0,20796.0
34453,10915.0,50.4,41560.0,22226.0
34461,10262.0,56.4,40708.0,24019.0
34465,17491.0,55.8,36941.0,24241.0
34470,18580.0,42.2,31341.0,19348.0
34471,23968.0,43.8,49225.0,29623.0
34472,28087.0,38.9,34803.0,17382.0
34473,19533.0,40.9,41650.0,17724.0
34474,16210.0,35.9,38639.0,22812.0
34475,13552.0,34.1,24542.0,12193.0
34476,22517.0,57.0,47655.0,24524.0
34479,13031.0,44.3,39231.0,20252.0
34480,20024.0,39.9,53526.0,25801.0
34481,17908.0,66.3,38877.0,25259.0
34482,23058.0,40.5,37807.0,18324.0
34484,3818.0,44.2,51003.0,25927.0
34488,10372.0,54.8,29403.0,17098.0
34491,25209.0,63.4,43201.0,25645.0
34498,514.0,64.2,41250.0,24307.0
34601,21410.0,48.3,36326.0,20156.0
34602,7118.0,46.1,39375.0,20558.0
34604,10304.0,42.9,45324.0,21113.0
34606,26117.0,55.1,36356.0,21207.0
34607,8430.0,55.6,46127.0,29337.0
34608,32628.0,44.1,37978.0,18520.0
34609,38684.0,44.9,48416.0,22494.0
34610,12527.0,44.9,40756.0,20096.0
34613,17308.0,59.0,40661.0,24917.0
34614,6832.0,44.2,48300.0,20465.0
34637,8014.0,41.3,80146.0,30153.0
34638,23962.0,34.2,77676.0,31970.0
34639,25779.0,41.0,65766.0,29191.0
34652,24037.0,48.1,32283.0,22508.0
34653,32273.0,46.2,34446.0,19302.0
