,region,Population,Median Age,Per Capita Income,AveragePrice,Total Volume,year
0,Albany,5355.093023255814,43.82093023255813,31027.627906976744,1.5387500000000005,38749.004134615396,2015.0
1,Atlanta,11295.530546623795,39.880064308681675,22475.807073954984,1.3805769230769231,223381.71269230766,2015.0
2,BaltimoreWashington,26444.240384615383,38.00384615384616,43212.625,1.3688461538461534,390822.8801923081,2015.0
3,Boise,26614.3,37.279999999999994,31414.7,1.3737499999999998,36388.051346153836,2015.0
4,Boston,23028.012345679013,37.49259259259259,42649.234567901236,1.473557692307692,263990.3042307692,2015.0
5,BuffaloRochester,21046.326530612245,36.99795918367349,25555.632653061224,1.5446153846153845,56665.71730769234,2015.0
6,Charlotte,22789.274193548386,37.824193548387115,27579.41935483871,1.575769230769231,91224.45596153846,2015.0
7,Chicago,25848.41265060241,38.590361445783124,35063.85542168675,1.404038461538462,398987.65894230764,2015.0
8,CincinnatiDayton,9211.476816074188,40.97210200927359,23564.713292117463,1.2023076923076923,113040.15384615379,2015.0
9,DallasFtWorth,16688.63850687623,38.735952848722995,26227.506876227897,1.0778846153846149,579916.4291346153,2015.0
10,Denver,17653.391534391536,39.7201058201058,35033.77248677249,1.187788461538462,376830.2251923076,2015.0
11,Detroit,23347.908045977012,39.19080459770114,25587.689655172413,1.3382692307692308,172880.57057692314,2015.0
12,GrandRapids,29566.214285714286,33.73571428571429,25261.928571428572,1.4163461538461537,93662.91490384613,2015.0
13,HarrisburgScranton,8899.555555555555,41.19259259259261,25371.14814814815,1.4716346153846158,111902.93182692307,2015.0
14,HartfordSpringfield,11243.95945945946,42.182432432432435,31053.175675675677,1.7477884615384622,145790.79798076925,2015.0
15,Houston,25328.680327868853,36.380327868852454,29621.93442622951,1.0480769230769231,532571.8400961539,2015.0
16,Indianapolis,15763.073684210527,39.1663157894737,27219.063157894736,1.3429807692307696,78740.98105769229,2015.0
17,Jacksonville,18004.149532710282,43.35700934579442,23633.00934579439,1.503076923076923,69004.58346153845,2015.0
18,LasVegas,24614.2625,40.75125,27679.0875,1.3688461538461534,149446.42942307692,2015.0
19,LosAngeles,35466.448979591834,37.88326530612246,35764.75102040816,1.1525,1425198.9709615386,2015.0
20,Louisville,11618.913978494624,40.26021505376346,27906.462365591397,1.294423076923077,41240.41509615388,2015.0
21,MiamiFtLauderdale,31747.215909090908,40.01022727272727,32808.806818181816,1.3835576923076922,241985.69115384624,2015.0
22,Nashville,16119.785714285714,39.066666666666684,26172.61111111111,1.2772115384615383,83287.65528846145,2015.0
23,NewOrleansMobile,15063.80357142857,36.79285714285714,23947.76785714286,1.2676923076923077,121772.19173076918,2015.0
24,NewYork,24045.235807860263,39.7231441048035,48809.7903930131,1.6445192307692316,678919.5760576924,2015.0
25,Orlando,30363.264705882353,35.74117647058823,27274.558823529413,1.4993269230769217,141534.38548076924,2015.0
26,Philadelphia,24670.061224489797,37.805102040816315,34304.34693877551,1.5551923076923078,200886.73067307693,2015.0
27,PhoenixTucson,17616.97074468085,41.803723404255344,24085.872340425532,1.157115384615385,549771.9757692304,2015.0
28,Pittsburgh,15771.555555555555,40.58412698412699,32224.698412698413,1.4072115384615382,43653.84221153846,2015.0
29,Portland,15948.168316831683,42.76138613861387,30210.89108910891,1.3068269230769227,268687.07067307696,2015.0
30,RaleighGreensboro,19492.664285714287,39.669999999999995,26354.164285714287,1.4494230769230765,123243.59894230768,2015.0
31,RichmondNorfolk,18069.035294117646,40.051764705882356,28275.917647058825,1.2745192307692306,112029.60307692311,2015.0
32,Roanoke,18774.333333333332,39.13333333333333,32731.88888888889,1.2271153846153846,65180.89009615387,2015.0
33,Sacramento,18716.018315018315,41.598351648351624,33422.005494505494,1.4540384615384618,211351.32576923072,2015.0
34,SanDiego,33474.72826086957,38.27391304347827,33928.82608695652,1.2742307692307686,255631.98096153853,2015.0
35,SanFrancisco,28394.603773584906,39.85660377358491,60073.58490566038,1.621057692307693,379286.555576923,2015.0
36,Seattle,25956.090909090908,38.09090909090909,44587.51515151515,1.4222115384615388,279395.18701923086,2015.0
37,Spokane,25062.285714285714,36.171428571428564,25528.0,1.400384615384615,40208.530480769245,2015.0
38,StLouis,20583.933333333334,37.46000000000001,31416.577777777777,1.503365384615385,95217.06961538456,2015.0
39,Syracuse,15281.466666666667,36.0,24120.666666666668,1.5290384615384616,26291.66596153846,2015.0
40,Tampa,28921.115384615383,35.46538461538462,29470.30769230769,1.3566346153846154,164726.9024038462,2015.0
