,region,Population,Median Age,Per Capita Income,AveragePrice,Total Volume,year
0,Albany,5411.2235294117645,44.32941176470588,32390.564705882352,1.6378301886792455,49354.54509433963,2017.0
1,Atlanta,11536.551612903226,40.43064516129034,24411.687096774192,1.4287735849056606,271840.75452830194,2017.0
2,BaltimoreWashington,27302.650485436894,37.9747572815534,45355.087378640776,1.6794339622641505,386939.9477358491,2017.0
3,Boise,27267.7,37.29,34615.6,1.4926415094339625,44910.955754717,2017.0
4,Boston,23480.222222222223,37.612345679012336,46476.0987654321,1.679528301886792,288779.92603773565,2017.0
5,BuffaloRochester,21040.51020408163,37.05102040816327,27365.775510204083,1.5877358490566038,73021.75235849056,2017.0
6,Charlotte,23612.322580645163,38.38709677419353,30185.516129032258,1.769811320754717,112222.55094339621,2017.0
7,Chicago,25971.5166163142,39.02296072507554,37958.07552870091,1.7148113207547169,386610.89009433996,2017.0
8,CincinnatiDayton,9348.066458170446,41.343002345582526,25250.07036747459,1.3194339622641504,142893.187735849,2017.0
9,DallasFtWorth,17179.769080234833,39.17808219178079,27876.06653620352,1.1769811320754713,624914.931226415,2017.0
10,Denver,18214.373684210525,39.90684210526317,37907.12631578947,1.3577358490566032,401500.72754716984,2017.0
11,Detroit,23000.545454545456,39.675,28899.920454545456,1.339056603773585,193513.4357547169,2017.0
12,GrandRapids,30060.85714285714,33.83571428571428,27349.785714285714,1.6277358490566043,82589.22320754717,2017.0
13,HarrisburgScranton,8987.061728395061,41.53086419753088,26793.444444444445,1.5957547169811324,124002.99981132074,2017.0
14,HartfordSpringfield,11245.797297297297,42.28918918918919,33101.17567567567,1.8883018867924524,144552.8681132075,2017.0
15,Houston,26972.66108786611,36.14602510460252,31952.33891213389,1.1040566037735848,651821.6310377358,2017.0
16,Indianapolis,16192.148936170213,38.541489361702126,29823.73404255319,1.330754716981132,94350.95377358494,2017.0
17,Jacksonville,18342.027777777777,43.77870370370371,25701.972222222223,1.6715094339622634,86729.12839622641,2017.0
18,LasVegas,26124.79487179487,40.9948717948718,30220.923076923078,1.4178301886792455,164470.11962264156,2017.0
19,LosAngeles,35713.88163265306,38.2991836734694,38992.31428571429,1.3773584905660377,1495105.4173584902,2017.0
20,Louisville,11282.835051546392,40.862886597938164,28593.82474226804,1.357075471698114,49623.67396226419,2017.0
21,MiamiFtLauderdale,32152.20224719101,40.63820224719102,35652.74157303371,1.6375471698113209,291322.9342452831,2017.0
22,Nashville,16337.248062015504,39.696124031007756,28966.232558139534,1.2400000000000004,122062.68707547165,2017.0
23,NewOrleansMobile,15560.163636363637,37.13272727272727,25568.127272727274,1.419056603773585,135155.6782075472,2017.0
24,NewYork,24464.64912280702,40.06008771929825,51815.80263157895,1.8099056603773584,706138.4274528304,2017.0
25,Orlando,30828.942857142858,36.405714285714275,28609.2,1.6801886792452831,177466.05688679236,2017.0
26,Philadelphia,24576.696969696968,37.94545454545455,36883.9494949495,1.7072641509433957,210106.0834905661,2017.0
27,PhoenixTucson,17879.128947368423,42.519736842105246,26138.073684210525,1.2725471698113209,577080.5118867926,2017.0
28,Pittsburgh,15721.412698412698,40.63333333333332,34644.380952380954,1.3629245283018874,64609.70433962264,2017.0
29,Portland,16225.549019607843,43.058823529411775,33416.19607843137,1.4343396226415097,348108.05575471686,2017.0
30,RaleighGreensboro,20157.87050359712,39.96978417266187,28715.841726618706,1.7686792452830196,151213.658490566,2017.0
31,RichmondNorfolk,18264.117647058825,41.29647058823528,30857.941176470587,1.3992452830188684,128744.5655660377,2017.0
32,Roanoke,18795.444444444445,38.91111111111111,33142.11111111111,1.3583018867924526,76279.35669811322,2017.0
33,Sacramento,19488.82242990654,42.05588785046729,36881.194392523365,1.774056603773585,218796.49849056592,2017.0
34,SanDiego,34140.25,38.386956521739144,37070.532608695656,1.5845283018867926,256549.92745283013,2017.0
35,SanFrancisco,29653.80769230769,39.98653846153847,66794.76923076923,1.9659433962264152,395014.17820754723,2017.0
36,Seattle,27172.0,38.49090909090909,52575.818181818184,1.5993396226415086,330448.73339622637,2017.0
37,Spokane,25471.571428571428,36.49285714285715,27445.0,1.6045283018867924,48599.32358490565,2017.0
38,StLouis,20459.8,37.45777777777778,34187.4,1.591792452830188,84793.60849056605,2017.0
39,Syracuse,15221.0,36.233333333333334,25376.0,1.5894339622641511,35207.339811320744,2017.0
40,Tampa,29748.115384615383,35.669230769230765,31972.03846153846,1.6193396226415095,193869.21792452823,2017.0
